calc	comp	folha	caule	raiz	total
0	0	0.54	1.0779591837	0.9574258503	2.575385034
0	0	0.53	0.9679591837	1.1518258503	2.649785034
0	0	0.69	1.1879591837	1.2059591837	3.0839183673
0	0	0.71	1.3079591837	1.3163591837	3.3343183673
0	5	4.29	11.3879591837	2.8091591837	18.4871183673
0	5	4.53	9.7179591837	3.1315591837	17.3795183673
0	5	4.9	8.9279591837	3.3618258503	17.189785034
0	5	5.27	10.8679591837	2.7887591837	18.9267183673
0	10	4.99	14.2779591837	3.995692517	23.2636517007
0	10	4.57	11.4779591837	2.4894258503	18.537385034
0	10	5.62	11.5379591837	2.8239591837	19.9819183673
0	10	4.62	13.6579591837	3.1987591837	21.4767183673
0	20	6.11	10.4679591837	4.058892517	20.6368517007
0	20	6.14	11.3279591837	3.3743591837	20.8423183673
0	20	5.77	13.0379591837	3.3595591837	22.1675183673
0	20	6.51	15.4579591837	3.6718258503	25.639785034
0	40	6.62	14.5979591837	5.5558258503	26.773785034
0	40	7.67	15.1279591837	3.7222258503	26.520185034
0	40	6.67	13.3279591837	4.058892517	24.0568517007
0	40	7.34	15.1979591837	3.274492517	25.8124517007
0.25	0	4.56	9.1479591837	2.2658258503	15.973785034
0.25	0	0.46	0.8279591837	0.984492517	2.2724517007
0.25	0	1.47	3.3079591837	1.563692517	6.3416517007
0.25	0	1.28	2.5079591837	1.4247591837	5.2127183673
0.25	5	6.5225	8.5179591837	2.9438258503	17.984285034
0.25	5	4.39	12.2079591837	2.6806258503	19.278585034
0.25	5	4.96	11.1879591837	2.7735591837	18.9215183673
0.25	5	5.6	11.9879591837	2.669692517	20.2576517007
0.25	10	5.645	12.8979591837	3.2151591837	21.7581183673
0.25	10	4.72	11.4179591837	2.7507591837	18.8887183673
0.25	10	5.56	12.5279591837	3.0547591837	21.1427183673
0.25	10	5.53	13.6079591837	3.0323591837	22.1703183673
0.25	20	5.94	13.4479591837	3.856892517	23.2448517007
0.25	20	6.5	12.0479591837	3.9991591837	22.5471183673
0.25	20	5.01	10.0079591837	2.878092517	17.8960517007
0.25	20	5.78	12.1879591837	2.380892517	20.3488517007
0.25	40	7.115	15.7879591837	3.8462258503	26.749185034
0.25	40	6.97	14.1279591837	2.5994258503	23.697385034
0.25	40	7.1	15.5979591837	2.642092517	25.3400517007
0.25	40	6.98	16.2579591837	2.976092517	26.2140517007
2	0	4	9.6979591837	2.594892517	16.2928517007
2	0	1.39	1.6679591837	1.4778258503	4.535785034
2	0	2.04	2.2979591837	1.7015591837	6.0395183673
2	0	1.15	2.1979591837	1.408492517	4.7564517007
2	5	5.285	11.0779591837	2.752092517	19.1150517007
2	5	5.8	11.0979591837	2.353692517	19.2516517007
2	5	4.57	10.2079591837	2.935292517	17.7132517007
2	5	5	11.4379591837	2.7574258503	19.195385034
2	10	6.0875	12.8679591837	2.769692517	21.7251517007
2	10	5.51	14.4179591837	3.226492517	23.1544517007
2	10	5.7	15.4479591837	3.4914258503	24.639385034
2	10	6.27	14.2179591837	2.804492517	23.2924517007
2	20	5.8	12.7279591837	2.5382258503	21.066185034
2	20	6.68	13.7979591837	2.6511591837	23.1291183673
2	20	6.81	14.7179591837	2.929692517	24.4576517007
2	20	6.81	14.3479591837	2.685292517	23.8432517007
2	40	5.6975	9.1779591837	1.877292517	16.7527517007
2	40	6.72	14.0079591837	2.4326258503	23.160585034
2	40	7.42	11.8979591837	2.3483591837	21.6663183673
2	40	5	8.0179591837	1.707692517	14.7256517007
3.72	0	1.5	2.1779591837	1.3538258503	5.031785034
3.72	0	1.86	2.9479591837	1.4098258503	6.217785034
3.72	0	1.82	2.4379591837	1.483692517	5.7416517007
3.72	0	2.42	3.2579591837	0.284092517	5.9620517007
3.72	5	4.46	11.8279591837	1.5711591837	17.8591183673
3.72	5	4.59	11.6779591837	2.482892517	18.7508517007
3.72	5	5.34	11.7479591837	1.854092517	18.9420517007
3.72	5	6.13	12.6779591837	1.823292517	20.6312517007
3.72	10	6.03	13.3179591837	1.901692517	21.2496517007
3.72	10	4.79	10.0279591837	1.4035591837	16.2215183673
3.72	10	6.83	15.1479591837	1.9490258503	23.926985034
3.72	10	6.28	12.9779591837	1.684492517	20.9424517007
3.72	20	6.72	13.6379591837	2.320492517	22.6784517007
3.72	20	6.22	11.2779591837	1.827292517	19.3252517007
3.72	20	5.73	10.2479591837	1.6971591837	17.6751183673
3.72	20	6.28	14.2779591837	2.007692517	22.5656517007
3.72	40	2.69	2.9979591837	1.0779591837	6.7659183673
3.72	40	2.53	1.9779591837	1.4150258503	5.922985034
3.72	40	6.58	5.5679591837	1.880892517	14.0288517007
3.72	40	6.06	10.6679591837	2.0058258503	18.733785034

