Invoice;EngineSize;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Length
33.337;3.5;6;265;17;23;4451;106;189
21.761;2;4;200;24;31;2778;101;172
24.647;2.4;4;200;22;29;3230;105;183
30.299;3.2;6;270;20;28;3575;108;186
39.014;3.5;6;225;18;24;3880;115;197
41.1;3.5;6;225;18;24;3893;115;197
79.978;3.2;6;290;17;24;3153;100;174
23.508;1.8;4;170;22;31;3252;104;179
32.506;1.8;4;170;23;30;3638;105;180
28.846;3;6;220;20;28;3462;104;179
30.366;3;6;220;17;26;3583;104;179
31.388;3;6;220;18;25;3627;104;179
33.129;3;6;220;20;27;3561;109;192
35.992;3;6;220;18;25;3880;109;192
38.325;3;6;220;20;27;3814;105;180
40.075;3;6;220;18;25;4013;105;180
38.84;2.7;6;250;18;25;3836;109;192
44.936;4.2;8;300;17;24;4024;109;193
64.74;4.2;8;330;17;24;4399;121;204
43.556;4.2;8;340;14;20;3825;104;179
76.417;4.2;8;450;15;22;4024;109;191
32.512;1.8;4;180;20;28;3131;95;159
33.891;1.8;4;225;20;28;2921;96;159
36.739;3.2;6;250;21;29;3351;96;159
37.06;3;6;220;18;25;4035;109;192
44.446;4.2;8;340;15;21;3936;104;179
33.873;3;6;225;16;23;4023;110;180
47.72;4.4;8;325;16;22;4824;111;184
26.155;2.5;6;184;20;29;3219;107;176
28.245;2.5;6;184;20;29;3197;107;177
34.8;2.5;6;184;19;27;3560;107;177
27.745;2.5;6;184;19;27;3461;107;176
32.525;3;6;225;20;30;3285;107;176
33.89;3;6;225;20;30;3285;107;176
34.115;3;6;225;20;29;3483;107;176
36.62;2.5;6;184;19;28;3428;114;191
40.53;3;6;225;19;28;3616;107;177
41.17;3;6;225;20;30;3472;114;191
50.27;4.4;8;325;18;26;3814;114;191
63.19;4.4;8;325;18;26;4376;118;198
66.83;4.4;8;325;18;26;4464;123;204
44.17;3.2;6;333;16;24;3415;108;177
51.815;3.2;6;333;16;23;3781;108;177
31.065;2.5;6;184;20;28;2932;98;161
37.575;3;6;225;21;29;2998;98;161
30.11;2.5;6;184;19;26;3594;107;176
34.357;4.2;6;275;15;21;4600;113;193
24.085;3.4;6;185;19;26;4024;112;187
20.351;3.1;6;175;20;30;3353;109;195
24.282;3.8;6;205;20;29;3567;112;200
22.835;3.8;6;200;20;30;3461;109;196
26.047;3.8;6;240;18;28;3536;109;196
29.566;3.8;6;205;20;29;3591;112;200
32.244;3.8;6;205;20;29;3778;114;207
36.927;3.8;6;240;18;28;3909;114;207
48.377;5.3;8;295;14;18;5367;116;199
43.523;4.6;8;320;16;21;4302;116;195
28.575;3.6;6;255;18;25;3694;113;190
41.65;4.6;8;275;18;26;3984;115;207
46.362;4.6;8;300;18;26;4044;115;207
43.841;4.6;8;275;18;26;3992;112;201
70.546;4.6;8;320;17;25;3647;106;178
48.541;6;8;345;13;17;5879;130;221
37.422;5.3;8;295;14;18;4947;130;219
36.287;5.3;8;295;14;18;5050;116;197
27.479;4.2;6;275;16;21;4425;113;192
19.108;2.5;6;165;19;22;2866;98;163
10.965;1.6;4;103;28;34;2370;98;167
11.802;1.6;4;103;28;34;2348;98;153
13.697;2.2;4;140;26;37;2617;104;183
13.884;2.2;4;140;26;37;2676;104;183
15.357;2.2;4;140;26;37;2617;104;183
20.095;3.4;6;180;21;32;3465;111;200
17.434;2.2;4;145;24;34;3174;106;188
18.639;3.5;6;200;22;30;3297;106;188
20.026;3.4;6;180;21;32;3340;111;198
22.931;3.8;6;200;20;30;3476;111;200
25.672;3.8;6;240;18;28;3606;111;200
21.551;3.5;6;200;23;32;3315;106;188
22.222;3.8;6;200;18;28;3434;111;198
23.954;4.3;6;190;14;17;4605;111;190
24.518;3.4;6;185;19;26;3699;112;187
39.068;5.7;8;350;18;25;3246;105;180
45.193;5.7;8;350;18;25;3248;105;180
31.689;5.3;8;295;14;18;5678;130;222
17.07;2.8;4;175;18;23;3623;111;192
18.48;4.3;6;200;15;21;4142;119;206
35.399;6;8;300;13;17;4804;144;238
39.306;5.3;8;300;16;19;4760;116;191
20.394;3.5;6;200;22;30;3458;112;188
16.919;2.4;4;150;22;29;3101;103;169
20.573;2.4;4;150;22;29;3105;103;169
17.805;2.4;4;150;22;30;3173;108;191
20.284;2.7;6;200;21;28;3222;108;191
27.797;3.5;6;250;18;27;3581;113;198
22.452;2.7;6;200;21;29;3479;113;208
24.909;3.5;6;232;19;27;3548;113;208
24.172;2.4;4;220;21;27;3217;103;169
23.451;2.4;4;150;22;30;3357;106;194
30.884;3.5;6;255;18;27;3650;113;198
28.613;2.7;6;200;21;28;3448;106;194
25.371;3.3;6;180;19;26;4068;119;201
35.063;3.8;6;215;18;25;4331;119;201
32.033;3.2;6;215;17;25;3060;95;160
28.725;3.5;6;250;17;23;4675;116;199
29.472;4.7;8;230;15;21;4987;119;201
12.849;2;4;132;29;36;2581;105;174
14.086;2;4;132;29;36;2626;105;174
20.502;2.7;6;200;21;29;3469;113;204
17.512;2.4;4;150;21;28;3182;108;191
18.821;2.4;4;150;21;28;3175;108;191
23.058;3.5;6;232;18;27;3487;113;204
20.508;2.4;4;150;20;26;3862;113;189
29.812;3.8;6;215;18;25;4440;119;201
74.451;8.3;10;500;12;20;3410;99;176
16.264;3.7;6;210;16;22;3714;112;193
18.67;3.7;6;210;16;22;3829;131;219
18.076;3.7;6;215;16;21;4542;121;208
36.494;6.8;10;310;10;13;7190;137;227
30.468;4.6;8;232;15;19;5000;119;206
26.983;4;6;210;15;20;4463;114;190
20.907;3;6;201;18;23;3346;103;173
12.482;2;4;130;26;33;2612;103;168
12.906;2;4;110;27;36;2606;103;168
14.496;2;4;130;26;33;2606;103;168
14.607;2;4;130;26;33;2691;103;168
17.878;2;4;170;21;28;2750;103;168
18.881;3;6;155;20;27;3306;109;198
20.857;3;6;201;19;26;3313;109;198
22.856;4.6;8;224;17;25;4057;115;212
25.105;4.6;8;224;17;25;4057;115;212
27.756;4.6;8;239;17;25;4057;115;212
24.498;3.9;6;193;17;23;4275;121;201
16.943;3.8;6;193;20;29;3290;101;183
26.875;4.6;8;260;17;25;3347;101;183
34.483;3.9;8;280;17;24;3780;107;186
19.49;4.6;8;231;15;19;4788;126;211
29.405;5.4;8;300;14;18;5464;133;218
13.717;2.3;4;143;24;29;3028;111;188
16.375;2;4;130;26;33;2702;103;178
20.457;3;6;155;19;26;3497;109;198
28.922;4.2;6;275;15;19;4945;129;208
31.361;4.8;8;285;16;19;5042;116;199
40.534;6;8;325;13;17;6133;130;219
23.215;4.3;6;190;16;20;4309;111;190
14.877;2.8;4;175;18;25;3351;111;192
22.604;4.8;8;285;17;20;4548;144;230
25.759;6;8;300;13;18;5440;133;222
23.043;4.3;6;190;15;19;4083;123;208
18.451;1.4;4;93;46;51;2732;103;175
17.911;2;3;73;60;66;1850;95;155
24.843;3.5;6;240;17;22;4387;106;188
18.419;2.4;4;160;21;25;3258;103;179
17.334;2.4;4;160;21;24;3468;101;167
12.175;1.7;4;115;32;38;2432;103;175
12.996;1.7;4;117;36;44;2500;103;175
14.531;1.7;4;115;32;38;2513;103;175
17.924;2.4;4;160;26;34;2994;105;188
20.08;2.4;4;160;26;34;3047;105;188
16.265;1.7;4;127;32;37;2601;103;175
17.849;2;4;160;26;30;2782;101;166
